title,description,location,features,data,price
"3 BHK Luxury Homes for Sale in Godrej Meridien at Sector 106, Gurgaon","	6% open and green areas • 	4 tier security screening 	6132sqft mtr. (66k sqft) Grand Club House 	7+ sporting facilities • 	International Brand Tie-ups •In proximity to IGIA, International Convention Centre, Dwarka Expressway, Delhi • 	Low density Product •  	Central car free zone • 	Concierge desk & 24x7 Valet Service • 	Lush Forest Grove with walkways , benches and sculptures",Sector 85 Gurgaon Haryana India,3 Bds - 3 Ba - 1855 ft2,2020-07-08T14:57:04+0000,"₹ 1,70,00,000"
,,,,,
2bhk flat sale madan dhaba kokar.,2bhk flat for sale at madan dhaba kokar. Flat disatance only 300 miter. 3rd floor par hai Lift nhi hai. Car parking hai. Gard hai. Rs . 32 lakh only.,Kokar Ranchi Jharkhand India,2 Bds - 2 Ba - 800 ft2,2020-07-05T03:27:49+0000,"₹ 32,00,000"
,,,,,
3 BHK BRAND NEW KOTHI SEMI FURNISHED (100% HOME LOAN FINANCED),"3 BHK  KOTHI SEMI FURNISHED at prime location, MODULAR KITCHEN WARDROBES SPACIOUS CAR PARKING LAWN ETC. PRICE NEGOTIABLE ONLY 37.90 LACS 100% HOME LOAN FULL FINANCED FACILITIES AVAILABLE",Garden Colony Kharar Punjab India,3 Bds - 3 Ba - 1740 ft2,2020-06-16T16:23:28+0000,"₹ 37,90,000"
,,,,,
"Full paisa vasool, %3BHK % Flat  For Sale In sector- 14 Gurugram.","Full paisa vasool, %3BHK % Flat  For Sale In sector- 14 Gurugram.",Sector 14 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:20:54+0000,"₹ 72,00,000"
,,,,,
"Have a look, %3BHK % Flat For Sale In sector- 14 Gurugram.",- With semi furnished facilities  Like :-  :-modular kitchen with chimney :- wardrobe in Every room  :- Wooden work :- Splits Ac fitting  :-  2 lifts +  Full power backup :- 2 Balconies  :- Polycap wiring fittings :- sera bathroom fittings :- Access With 30Feet wide Road  :- Stilled & Gated Car Parking,Sector 14 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:20:54+0000,"₹ 72,00,000"
,,,,,
Opt an option of  %3BHK % Flat For Sale In sector- 14 Gurugram.,":-Semi furnished Flats  :-3bhk usable  area 1200sqft @72L :-Plot Area 1000SqYard,  :-S+ 4 Story. :-Registry available & 70-80% Loanable  :- Possession in 3 months (August 2020) :- With semi furnished facilities  Like :-  :-modular kitchen with chimney :- wardrobe in Every room",Sector 14 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:20:54+0000,"₹ 72,00,000"
,,,,,
"Only for genuine customer, %3BHK % Flat Sale In Anamika Enclave Sec-12",":-3 Bhk Semi furnished Flats  :-With 1200/-sqft useable area  :-Plot Area 600sq yard ,  :-S+ 4 Story. :-Registry available & 80% Loanable  :- With semi furnished facilities  Like :-  :-modular kitchen  :- lift (kone) :- white wash  :- toilet fitting",Sector 12 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:20:54+0000,"₹ 58,00,000"
,,,,,
Beautifully constructed %3BHK % For Sale In Anamika Enclave Sec-12.,Beautifully constructed %3BHK % For Sale In Anamika Enclave Sec-12.,Sector 12 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:20:54+0000,"₹ 58,00,000"
,,,,,
Kumar house,Nessesery to mony,Mohakampur Dehradun Uttaranchal India,3 Bds - 2 Ba - 120 ft2,2020-07-12T19:19:34+0000,"₹ 40,00,000"
,,,,,
"Double stored 3 BHK house for sale in chettupuzha ,Thrissur","Double stored 3BHK house in 2.5 cent for sale in chettupuzha ,Thrissur corporation area  100 meter from thrissur - kanjany main road 100 meter from ambakkattu moola center ,chettupuzha thrissur temple,church ,school,shops ,banks, etc,,, all are very nearby    Price Rs 28 Lakhs (negotiable) Contact Mr k j Babu    (Owner)   DOUBLE STORED 3BHK FULLY FURNISHED HOUSE FOR SALE IN CHETTUPUZHA , NEAR AMBAKKATU MOOLA CENTER , THRISSUR The property is situated in Chettupuzha, Thrissur. which is 5km from Thrissur town and 100meter from Amabakkatu Moola bus stop and kanjany Main Road. The house is double stored Three bed room, hall & furnished kitchen with covered parking for two& four wheelers. underground water storage tank with motor is available. Nice and calm residential place",Chettupuzha Thrissur Kerala India,3 Bds - 3 Ba - 1100 ft2,2020-07-12T19:19:19+0000,"₹ 28,00,000"
,,,,,
House on sale,"75 Gaz bna hua plot in Yashoda Nagar Near Uma upvan guest house 500mtr from Sanik Chauraha with 3 bedroom 1kitchen,2 bathroom with car parking.5500 Rent bhi ata hi.",Yashoda Nagar Kanpur Uttar Pradesh India,3 Bds - 2 Ba - 750 ft2,2020-07-12T19:18:36+0000,"₹ 27,50,000"
,,,,,
FOR SALE 2BHK,This is an east facing flat as per vastu open from 3 sides giving excellent ventilation.24 hrs sweet metro and bore water.silent residential area.Rates negotiable for genuine buyers,Vyasarpadi Chennai Tamil Nadu India,2 Bds - 2 Ba - 641 ft2,2020-07-12T19:16:42+0000,"₹ 42,00,000"
,,,,,
Flat for sale on 5th floor,Single bedroom flat with open 400sft veranda at suncity p&t colony near glendar school and aslo 2 bhk flat for sale in sale apartment on same floor and also lift facilitie available. (new construction),Engine Bowli Hyderabad Telangana India,1 Bds - 1 Ba - 800 ft2,2020-07-12T19:15:01+0000,"₹ 22,00,000"
,,,,,
"Big deal for your need  only 2 BHK Flats   for Sale  in  Hinjewadi, Ph","Big deal for your need  only 2 BHK Flats   for Sale  in  Hinjewadi, Phase 3",Hinjewadi Pune Maharashtra India,2 Bds - 2 Ba - 900 ft2,2020-07-10T12:58:12+0000,"₹ 48,00,495"
,,,,,
luxurious Gated community flats in Gajuwaka,luxurious Gated community flats in Gajuwaka Club house Community Hall Jogging Track Children Park Swimming pool Lawn Comfortable Elevators Society Office 24/7 Water supply 24/7 Security Guards Power backup for common areas and lift.,Gajuwaka Visakhapatnam Andhra Pradesh India,2 Bds - 2 Ba - 1050 ft2,2020-06-25T03:54:04+0000,"₹ 31,00,000"
,,,,,
BRAND NEW HOUSE SALE IN ERATTUPETTA KANJIRAPPALLY HIGHWAY NEAR GOOD,10 CENT LAND 1400 SQUARE FEET 3 BEDROOM ATTACHED BATHROOM HOUSE OPEN WELL WATER TAR ROAD HIGHWAY 1 KM GOOD RESIDENTIAL AREA USED IN HIGH QUALITY MATERIALS FULLY FURNISHED LOAN AVAILABLE PLS CALL OR WATSSAPP IN ANY TIME PALA PROPERTIES .SALE OR PURCHASING PLS CALL OR WATSSAPP ME.,Meenachil Palai Kerala India,3 Bds - 3 Ba - 1400 ft2,2020-06-17T10:25:40+0000,"₹ 45,00,000"
,,,,,
Sell for home,Makan bechna dabal flor complit Pura makan oner se sidhe bat kariye  bich me koi ajent nahi hai ( kirpya taim pass wale msg n kare),Gaus Nagar Allahabad Uttar Pradesh India,4 Bds - 3 Ba - 520 ft2,2020-07-12T19:10:39+0000,"₹ 40,00,000"
,,,,,
Flat resale,"It is a 3bhk Flat near vip road,kestopur with very good construction.All windows are box windows,lots of wardrobes,big kitchen and bathrooms There are two markets near house Communication is very good.2mins from vip road 10 mins from railway station,15 min from newtown rajarhat",Keshtopur Kolkata West Bengal India,3 Bds - 2 Ba - 1050 ft2,2020-07-12T19:10:08+0000,"₹ 37,00,000"
,,,,,
Grand 1bhk for sale in Tilak Nagar,I want to sell my 1bhk flat in tilak nagar on urgent basis.It is 450 sqft carpet area.Flat is on 3rd floor out of 16 floors.It is an new building.Photos will be provided in request.Genuine buyers only.,Tilak Nagar Mumbai Maharashtra India,1 Bds - 1 Ba - 775 ft2,2020-07-12T19:09:58+0000,"₹ 1,10,00,000"
,,,,,
Flats for sale,"Good location,paramount colony gate 2⃣ toli chowki Hyderabad,1⃣1⃣0⃣0⃣ sft all flats,available flats (6⃣) 4⃣ th 5⃣ th  6⃣th floor each floor 2⃣ flats price 3⃣8⃣ lakh's mediator Ahmed -7⃣ 3⃣ 0⃣ 6⃣ 7⃣ 7⃣ 4⃣ 0⃣ 6⃣ 8⃣",Tolichowki Hyderabad Telangana India,2 Bds - 3 Ba - 1100 ft2,2020-07-12T19:09:24+0000,"₹ 38,00,000"
,,,,,
I want 2sale my 5ogaj independent house,5ogaz house sale prime location allfacilities available like ganga water nearest metro only 2km gaziabaad only 1km annadvihar only 7km,Mandoli Delhi Delhi India,4 Bds - 2 Ba - 450 ft2,2020-07-12T19:09:18+0000,"₹ 52,00,000"
,,,,,
"Duplex for sale, complete house","Duplex for urgent slae ,prime location ,reasonable price ,ready to move ,loan facility available ,mda approved, 167 yards ,direct dela with owner ,no commission ,futur plan metro,rapid rail, under ground electric wires started ,futuristic location ,",Pallav Puram Meerut Uttar Pradesh India,4+ Bds - 4 Ba - 1500 ft2,2020-07-12T19:09:00+0000,"₹ 60,00,000"
,,,,,
Flat for sale ...,Flat for sale near housing board colony NEAR TO MOULALI RAOD,AS Rao Nagar Hyderabad Telangana India,2 Bds - 2 Ba - 1050 ft2,2020-07-12T19:07:11+0000,"₹ 40,00,000"
,,,,,
Mahila Awas Yojna,"Project Name - Max Mahila Awas Yojna  Location - Faizabad Road, Lucknow  #Rera_No - UPRERAPRJ467572  #Bank_Finance Available #EMI Available  2 BHK - 16 Lakh 3 BHK - 19 Lakh(onwards)  #Specifications Sever Line, Water Supply, Semi Modular Kitchen, Park, Plastic Paint, P.O.P Fall Ceiling with Lighting, Anti Skid Tyles, Stainless Steel Railings, MCB of Havels, Modular Swiches, Apex Coating Paint.  #Sample_Flats_Ready #Pehle Aao #Pehle Paao  Contact me for more details.",Nawabganj Barabanki Uttar Pradesh India,3 Bds - 2 Ba - 1144 ft2,2020-07-12T19:06:29+0000,"₹ 18,99,000"
,,,,,
Urgent %3BHK % Flat For Sale In Anamika Enclave Sec-12.,Urgent %3BHK % Flat For Sale In Anamika Enclave Sec-12.,Sector 12 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
Located In Anamika Enclave Sec-12.%3BHK % Flat For Sale,Located In Anamika Enclave Sec-12.%3BHK % Flat For Sale,Sector 12 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
"Good location, %3BHK % Flat For Sale In Anamika Enclave Sec-12.","Good location, %3BHK % Flat For Sale In Anamika Enclave Sec-12.",Sector 12 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
Find your %3BHK % Flat For Sale In Anamika Enclave Sec-12.,Find your %3BHK % Flat For Sale In Anamika Enclave Sec-12.,Sector 12 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
Big %3BHK % Flat  For Sale In Anamika Enclave Sec-12.*,Big %3BHK % Flat  For Sale In Anamika Enclave Sec-12.*,Sector 12 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
Spacious %3BHK % Flat  For Sale In Anamika Enclave Sec-12.,Spacious %3BHK % Flat  For Sale In Anamika Enclave Sec-12.,Anamika Enclave Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
Best option to choose %3BHK % Flat For Sale In Anamika Enclave Sec-12.,Best option to choose %3BHK % Flat For Sale In Anamika Enclave Sec-12.,Anamika Enclave Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
"Prime Location, Good infrastructure, %3BHK % Flat For Sale .",":-3 Bhk Semi furnished Flats  :-With 1200/-sqft useable area  :-Plot Area 600sq yard ,  :-S+ 4 Story. :-Registry available & 80% Loanable  :- With semi furnished facilities  Like :-  :-modular kitchen  :- lift (kone) :- white wash  :- toilet fitting  :- wall paper  :- ISI wiring fiitting :- 1 km away from Bus stand  :- 10minutes away from hudda city center metro station  :- Access With 25 Fit wide Road  :- Stilled & Gated Car Parking",Anamika Enclave Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:05:31+0000,"₹ 58,00,000"
,,,,,
1BHK apartment for sale at chinnamudaliya chawadi,sale at chinnamudaliya chawadi on ECR Road,Chinamudaliar Chavadi Kottakuppam Tamil Nadu India,1 Bds - 1 Ba - 1240 ft2,2020-07-12T19:04:41+0000,"₹ 28,00,000"
,,,,,
2 Bhk @ Godrej Garden City,The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.  The Apartment are of the following configurations: 2BHK.  The size of the Apartment ranges in between 49.0 Sq. mt and 58.0 Sq. mt  facilities such as Gymnasium.It also has amenities like Jogging track and Swimming pool.,Jagatpur Ahmedabad Gujarat India,2 Bds - 2 Ba - 1080 ft2,2020-06-15T01:21:46+0000,"₹ 47,00,000"
,,,,,
3BHK LUXURIOUS FLAT AT 17.75Lacs Onwards SALE # Param Bliss# atladara,"3BHK LUXURIOUS FLAT AT Rs.17.75Lacs Onwards SALE # Param Bliss# atladara  Amenities:    GYMNASIUM  GAME ROOM  CLUB HOUSE  LANDSCAPED GARDEN  POWER BACKUP FOR COMMON UTILITY  DEDICATED TWO LIFTS FOR EACH TOWER  RCC TRIMIX ROAD CHILDREN'S PLAY AREA  SENIOR CITIZEN SITTING  JOGGING TRACK  UNDERGROUND ELECTRIC CABLING  FIRE EXTINGUISHER PIPES ON EACH FLOOR  Specification:  Structure:  Earthquake resistance RCC frame structure as per structure design  Wall Finishing  Internal smooth plaster with acrylic emulsion paint &  external double coat plaster with weather-resistant paint  Flooring  Vitrified tiles flooring in all rooms  Door  Elegant entrance door & Internal flush door with stone frame  Windows  Anodized aluminum windows with stone Sill  Kitchen:  Granite platform with SS Sink & glazed tiles dedo upto lintel level  Bathroom:  Designer Bathrooms with premium fittings & vessels with  glazed tiles upto lintel level  Plumbing:  Concealed U-PVC Plumbing  Electrification  Concealed copper wiring of approved quality, sufficient electrical  points as per architect's plan  Water Supply  Individual R.O System &Sensor for overhead and underground tank  Terrace:  Open terrace finished with water proofing & china mosiac",Atladara Padra Road Vadodara Gujarat India,3 Bds - 3 Ba - 1170 ft2,2020-06-15T07:34:12+0000,"₹ 17,75,001"
,,,,,
टू बीएचके फ्लैट इन टैगोर टाउन नियर यश्लोक हॉस्पिटल,ब्रोकर को बिकवा ने पर ब्रोकरेज दिया जाएगा,Tagore Town Allahabad Uttar Pradesh India,2 Bds - 1 Ba - 750 ft2,2020-06-10T14:32:08+0000,"₹ 43,99,999"
,,,,,
Flat at topsia Gj khan Road kol 39,"Alvester on top floor but designing falsiling council wiring fully tiles on top to bottom at kitchen and toilet, there are two room one bed room and one hall room  sweet water available but only toilet  height is little short",Jhautala Kolkata West Bengal India,1 Bds - 1 Ba - 310 ft2,2020-07-12T18:57:59+0000,"₹ 7,00,000"
,,,,,
2bhk flat  phoenix,2bedroom flat phoenix apartment,Edappally Kochi Kerala India,,2020-07-12T18:57:46+0000,"₹ 55,000"
,,,,,
Corner duplex house.,Corner duplex house Shayam Nagar Nx modular kitchen (good location House ),Sukhlia Indore Madhya Pradesh India,2 Bds - 2 Ba - 800 ft2,2020-07-12T18:57:37+0000,"₹ 31,00,000"
,,,,,
Luxury 3bhk pre-launch@bachupally,Premium 3bhk flats on pre-launch sale in bachupally in a high rise gated community with world class amenities in 10 acres of land.,Bachupally Hyderabad Telangana India,3 Bds - 3 Ba - 1556 ft2,2020-07-12T18:57:20+0000,"₹ 45,00,000"
,,,,,
"2 Big Parks, 2 Swimming pools, 24 hr Security, cctv,club house,etc",Moderate Villa,Deep Avenue Tarantaran Punjab India,4 Bds - 4 Ba - 6000 ft2,2020-07-12T18:57:02+0000,"₹ 90,00,000"
,,,,,
Prestige Spencer Heights – 3 BHK Apartments in Frazer Town,Prestige Spencer Heights – 3 BHK Apartments in Frazer Town   This is feng shui/vaastu compliant property. It is an wonderful view of park/garden. Fully power back up. The unit is located in a gated society.,Fraser town Bengaluru Karnataka India,3 Bds - 3 Ba - 2378 ft2,2020-07-12T18:56:51+0000,"₹ 3,40,00,000"
,,,,,
Flat for sale (urgent),02 Room set 01 kitchen 01 Balcony Separate washroom and Toilet  Add- Sugam Vihar Kalindipuram Prayagraj Intrested person contact on my number,Kalandipuram Allahabad Uttar Pradesh India,1 Bds - 1 Ba - 398 ft2,2020-07-12T18:56:32+0000,"₹ 20,00,000"
,,,,,
Pre-launch 3bhk@bachupally,Premium 3bhk flats on pre-launch sale in bachupally in a high rise gated community with world class amenities in 10 acres of land.,Bachupally Hyderabad Telangana India,3 Bds - 3 Ba - 1294 ft2,2020-07-12T18:55:13+0000,"₹ 37,50,000"
,,,,,
New Furnished Flat for an Urgent sale in Sobha City  Thrissur,"New Furnished 3 bed rooms attached flat for an urgent sale in Sobha City Thrissur. All Imported materials used,  No Maintenance charges. Including the Club house membership and 1 extra car parking price 1 Crore 49 lacks.  1800 Sq Feet 3 bed rooms  and 3140 4 bed rooms furnished and without furnishings also available in Sobha City Thrissur...  Please Contact BabuRamakrishnan, thrissurproperty com",Puzhakkal Padom Thrissur Kerala India,3 Bds - 4 Ba - 2240 ft2,2020-06-17T10:35:54+0000,"₹ 1,49,00,000"
,,,,,
3 BHK For Sale in Sector 115,"This Spacious Residential Floors  has total   3 floors, makes it very suitable for a family with variety of living needs in mind. The space is airy is well located and can be easily customized as per the needs. Ample space for covered car parking for visitors. All modern development happening in the surrounding.  . Daily needs shops inside the township.  . Green parks inside the township.  . 24 hrs. Security – Gated society.  . 24 hrs. Water available.  Loan Facility is available from all leading banks.",Sector 115 Mohali Punjab India,3 Bds - 3 Ba - 1273 ft2,2020-06-22T07:30:00+0000,"₹ 31,90,000"
,,,,,
BUY 3BHK AT NASIK ROAD DATTA MANDIR,"Karda Hari Nakshatra  A thoughtfully planned project that exudes intense precision and passion in shaping your dream of a perfect home for you and your loved ones. It comprises of residential flats & shops. The buildings are well planned with flats that are designed to make optimum utilization of spaces. This complex is ideally located in an area with close proximity to the Nashik Road Railway Station , highway, schools, colleges hospital and shopping areas that makes it a convenient choice for all.   >Covered swimming pool  >Amphitheatre  >Mini Theatre  >Gazebo  >Lawn  >Children play area  >Gymnasium with steam bath  >Club house & Squash Court  >Allotted parking  >Video door phone  >Vastushastra based design",Datta Nagar Nashik Maharashtra India,3 Bds - 3 Ba - 1460 ft2,2020-06-29T07:53:05+0000,"₹ 82,10,231"
,,,,,
"Luxury Independent Villas in Devanahalli,","Prestige Golfshire – Luxury Independent Villas in Devanahalli, Nandi Hills",Nandi Hills Bengaluru Karnataka India,4 Bds - 4 Ba - 5896 ft2,2020-07-12T18:54:48+0000,"₹ 6,75,00,000"
,,,,,
LOW Budget 5.50 Marla 3BHK House In Just 28.50 Lac In Jalandhar,"Great Offer 5.50 Marla 3BHK House In Just 28.50 Lac   Address:--  Venus Velly Colony, Amritsar By-Pass Road Backside Verka Milk Plant Near Swami Mohan Dass Public School Jalandhar  (Harjitsons Real Estate)  Property Detail:--  Plot Area: 1140 sq.ft. Price: 28.50 Lac Booking Price: 20 Thousand  Availability: Within One Month Road: 24""ft Wide Road Water Supply: Available Drainage System: Available Green Belt: Available NOC & Naksha: Passed (Municipal Corporation Jalandhar)  Its 3 Bedroom, 3 Bathroom,  Drawing Room, Lobby, Kitchen With Cupboards, Up-Stairs, Terrace, Car-Porch & Many More   --Housing Loan Available Upto 90% -- Its Well Developed Colony  -- Easy To Approachable  -- Well Educated Family Living Here   For Further Detail Regarding Property, Contact On  99155  ,  57101 Mr. Harpreet Singh T&C Apply",Kalia Colony Jalandhar Punjab India,3 Bds - 3 Ba - 1700 ft2,2020-07-03T09:56:41+0000,"₹ 28,50,000"
,,,,,
1 Bhk Flat Available Gurgaon,1 Bhk Flat Available Gurgaon,Sector 33 Gurgaon Haryana India,1 Bds - 1 Ba - 540 ft2,2020-06-14T06:54:48+0000,"₹ 13,50,000"
,,,,,
2 BHK Only @ 56 L In Sus,"Blueroof Sera is nothing but the one of the premium residential project in Sus Area , which offers great and luxury apartments in affordable prices with all the basic amenities. In which naturally lit & well ventilated rooms , use of quality building materials & quality finishesh .",SUS Pune Maharashtra India,2 Bds - 2 Ba - 1027 ft2,2020-06-15T02:06:34+0000,"₹ 56,33,000"
,,,,,
Pre-launch 2bhk@Bachupally,Premium 2bhk flatson pre-launch sale in bachupally in a high rise gated community with world class amenities in 10 acres of land.,Bachupally Hyderabad Telangana India,2 Bds - 2 Ba - 1045 ft2,2020-07-12T18:51:53+0000,"₹ 30,00,000"
,,,,,
"3 BHK Luxury Homes for Sale in Godrej Meridien at Sector 106, Gurgaon","	6% open and green areas • 	4 tier security screening 	6132sqft mtr. (66k sqft) Grand Club House 	7+ sporting facilities • 	International Brand Tie-ups •In proximity to IGIA, International Convention Centre, Dwarka Expressway, Delhi • 	Low density Product •  	Central car free zone • 	Concierge desk & 24x7 Valet Service • 	Lush Forest Grove with walkways , benches and sculptures",Sector 85 Gurgaon Haryana India,3 Bds - 3 Ba - 1855 ft2,2020-07-08T14:57:04+0000,"₹ 1,70,00,000"
,,,,,
Furnished havy beautiful flat sell in behala diamond park society,"2bhk fully finished havy beautiful 3rd floor flat with lift sell in behala diamond park. Near pond. Loan available. Contact only genuine clients please and brokerage one month rent extra. Contact Mr Rana  for visit, more photos and more information about this property. Open my advertisement > scroll down > click on Rana Real Estate > click follow option, then my every new advertisement notifying you.",Behala Kolkata West Bengal India,2 Bds - 2 Ba - 810 ft2,2020-07-12T18:54:36+0000,"₹ 30,00,000"
,,,,,
AMUTHAM BUILDERS - loan arrangements and construction,BUILDING AND VILLAS We are builder Loan arrangements and construction if you any requirement pls make call and any clarification if don't mine make a call,Kamatchi Puram Tiruppur Tamil Nadu India,2 Bds - 2 Ba - 1000 ft2,2020-07-12T18:54:23+0000,"₹ 10,000"
,,,,,
It is having comprises of many world class amenities,"Prestige Edwardian  Ready to move  Prestige Edwardian bring forth the elegance and grace of an age when life was leisure and every day a celebration. Prestige Edwardian comes with all contemporary amenities like a Clubhouse, Swimming Pool, Gymnasium and more to accommodate the lifestyle and requirements of modern ultra luxury living. Come discover the gracious life!",Vasant Nagar Bengaluru Karnataka India,4 Bds - 4 Ba - 4750 ft2,2020-07-12T18:51:43+0000,"₹ 11,00,00,000"
,,,,,
House complete ready to move on road campwell road near petrol pump,Behind SS LAWN campwell near petrol pump ⛽️ road on road well maintained house new call me,Balaganj Lucknow Uttar Pradesh India,4 Bds - 2 Ba - 800 ft2,2020-07-12T18:51:04+0000,"₹ 34,00,000"
,,,,,
3 sides open specious 3 BHK BHK Apartments in Cunningham Road,Prestige Kenilworth   3 sides open specious 3 BHK BHK Apartments in Cunningham Road makes living in the hotspot old Bangalore an experience like never before. With two dedicated levels of premium amenities two make your stay bliss. (Possession – April – 2021),Vasant Nagar Bengaluru Karnataka India,3 Bds - 3 Ba - 3500 ft2,2020-07-12T18:48:42+0000,"₹ 9,00,00,000"
,,,,,
2bhk flat sale madan dhaba kokar.,2bhk flat for sale at madan dhaba kokar. Flat disatance only 300 miter. 3rd floor par hai Lift nhi hai. Car parking hai. Gard hai. Rs . 32 lakh only.,Kokar Ranchi Jharkhand India,2 Bds - 2 Ba - 800 ft2,2020-07-05T03:27:49+0000,"₹ 32,00,000"
,,,,,
Cheap and best,"New flat with bike parking near Metro Station  modular kitchen fans ,water and electricity meter connection near Metro  Pls contact",Om Vihar Delhi Delhi India,2 Bds - 2 Ba - 500 ft2,2020-07-12T18:53:49+0000,"₹ 22,00,000"
,,,,,
